company_name,ticker,sector_bucket,event_anchor_date,event_window_start,event_window_end,pre_event_close,post_event_close,cumulative_return,benchmark_return,excess_return,market_cap,ps_ratio,revenue_growth,gross_margin,operating_margin,rd_to_revenue,sm_to_revenue,fcf_margin,data_completeness_notes
CrowdStrike,CRWD,security,,,,,,,,,,,,,,,,,
Zscaler,ZS,security,,,,,,,,,,,,,,,,,
Datadog,DDOG,observability,,,,,,,,,,,,,,,,,
Snowflake,SNOW,data_cloud,,,,,,,,,,,,,,,,,
ServiceNow,NOW,workflow,,,,,,,,,,,,,,,,,
Workday,WDAY,core_enterprise,,,,,,,,,,,,,,,,,
Cloudflare,NET,network_security,,,,,,,,,,,,,,,,,
Asana,ASAN,project_management,,,,,,,,,,,,,,,,,
Monday.com,MNDY,project_management,,,,,,,,,,,,,,,,,
HubSpot,HUBS,crm_marketing,,,,,,,,,,,,,,,,,
Dropbox,DBX,document_collaboration,,,,,,,,,,,,,,,,,
DocuSign,DOCU,signature_workflow,,,,,,,,,,,,,,,,,
Atlassian,TEAM,developer_workflow,,,,,,,,,,,,,,,,,
Twilio,TWLO,communications_api,,,,,,,,,,,,,,,,,
